ID	Location	Direction	WalkDist	Web	SpiderPres	SpiderPresNum	Occ_Neigh	Sex	SubHeight	RetreatHeight	Proportion	RetreatDist	EdgeDist	FocalDir
C31	Campus	South	160	W011	N	0	0	NA	101	90	0.89	194	193	N
C31	Campus	South	160	W010	N	0	0	NA	101	38	0.38	195	186	N
C31	Campus	South	160	W009	N	0	0	NA	101	70	0.69	203	200	S
C31	Campus	South	160	W012	N	0	0	NA	101	57	0.56	223	216	N
C31	Campus	South	160	W013	N	0	0	NA	101	100	0.99	248	234	N
C31	Campus	South	160	W001	Y	1	0	F	101	66.8	0.66	0	0	NA
C31	Campus	South	160	W007	Y	1	1	F	101	72	0.71	182	169	S
C33	Campus	North	26	W002	N	0	0	NA	105.5	13.6	0.13	23	0	W
C33	Campus	North	26	W003	N	0	0	NA	63	7	0.11	881.2	861.8	W
C33	Campus	North	26	W001	Y	1	0	F	105.5	14.2	0.13	0	0	NA
C38	Campus	East	12	W010	N	0	0	NA	132.1	7	0.05	267	254	SW
C38	Campus	East	12	W008	N	0	0	NA	132.1	9	0.07	319	303	SW
C38	Campus	East	12	W009	N	0	0	NA	127.7	4	0.03	389	382	SW
C38	Campus	East	12	W005	N	0	0	NA	132.1	34.5	0.26	404	391	SE
C38	Campus	East	12	W001	Y	1	0	F	132.1	46.5	0.35	0	0	NA
C38	Campus	East	12	W002	Y	1	1	F	87.6	6	0.07	65	55.5	N
C38	Campus	East	12	W004	Y	1	2	F	132.1	78	0.59	116.5	92	SE
C38	Campus	East	12	W003	Y	1	0	F	132.1	50	0.38	138	97	E
C38	Campus	East	12	W007	Y	1	0	F	132.1	47.2	0.36	280	268	S
C38	Campus	East	12	W006	Y	1	0	F	132.1	7.5	0.06	406	392	SE
C38	Campus	East	12	W011	Y	1	0	F	100.8	9	0.09	622	599	E
C40	Campus	South	180	W002	N	0	0	NA	180.3	12.3	0.07	19	11	W
C40	Campus	South	180	W004	N	0	0	NA	182.6	3	0.02	195	182	S
C40	Campus	South	180	W003	N	0	0	NA	187.1	18.5	0.1	216	203	NW
C40	Campus	South	180	W007	N	0	0	NA	213.5	153	0.72	242	237	W
C40	Campus	South	180	W005	N	0	0	NA	184.5	2	0.01	407	398	S
C40	Campus	South	180	W006	N	0	0	NA	168.5	5.5	0.03	733	717	S
C40	Campus	South	180	W001	Y	1	0	F	180.3	5.1	0.03	0	0	NA
F01	Forest	West	29	W001	Y	1	0	M	36.4	17	0.47	0	0	NA
F01	Forest	West	29	W002	Y	1	1	F	94.5	80.2	0.85	287	265	S
F01	Forest	West	29	W003	Y	1	2	F	88.6	83.3	0.94	675	667	SW
F02	Forest	North	260	W002	N	0	0	NA	46.6	8.8	0.19	131.5	109.3	S
F02	Forest	North	260	W001	Y	1	0	F	49.4	8	0.16	0	0	NA
F04	Forest	South	7	W002	N	0	0	NA	42.8	16.1	0.38	746	710	SE
F04	Forest	South	7	W001	Y	1	0	FM	58.4	29	0.5	0	0	NA
F04	Forest	South	7	W003	Y	1	1	F	33.8	19.3	0.57	1072	1064	SW
F06	Forest	South	180	W002	N	0	0	NA	87.7	43.2	0.49	433	398	W
F06	Forest	South	180	W001	Y	1	0	F	102.5	59	0.58	0	0	NA
F06	Forest	South	180	W003	Y	1	1	F	97	47	0.48	858	829	SW
F07	Forest	North	74	W002	N	0	0	NA	101.3	37	0.37	831	811	N
F07	Forest	North	74	W001	Y	1	0	F	51.9	15.8	0.3	0	0	NA
F07	Forest	North	74	W003	Y	1	1	F	100.6	31	0.31	868	845	N
F14	Forest	South	270	W002	N	0	0	NA	45.5	28.5	0.63	979	965	W
F14	Forest	South	270	W001	Y	1	0	F	10	7	0.7	0	0	NA
F16	Forest	South	150	W002	N	0	0	NA	95.7	54.5	0.57	598	566	NW
F16	Forest	South	150	W003	N	0	0	NA	77	56	0.73	908	890	SE
F16	Forest	South	150	W001	Y	1	0	F	109.6	67.1	0.61	0	0	NA
